make,model,year,vin,price
Pontiac,Sunbird,1990,JA32U1FU9AU188118,$5045.56
Mazda,B-Series Plus,1996,WP0CA2A84AU732944,$7665.70
Ford,Focus,2008,WAUKH78E36A026344,$2402.59
Buick,Century,1993,WBSWD9C56AP485661,$3219.88
Mercedes-Benz,500SEC,1993,1C4RJEAG6EC699816,$7772.15
Saab,9-3,2007,ZFBCFADH2FZ225738,$3163.46
Audi,200,1991,WA1VFBFL1EA192171,$8916.21
Ford,Explorer,1994,1G6DF8EY7B0935132,$6436.36
GMC,Sonoma,2000,WAU4FAFL7CA647479,$8740.72
Panoz,Esperante,2005,2D4RN5D17AR024539,$1634.22
Mercedes-Benz,CL-Class,2007,1C6RD6MT9CS937433,$6672.88
BMW,5 Series,2009,5TDBCRFH2FS696917,$9211.51
Audi,S4,2009,WAURD68D62A874191,$2553.15
Ford,F-Series,1997,2HNYD28858H672666,$4890.85
Ford,F150,2004,1B3CB5HA9AD677013,$6253.01
Audi,S6,2007,WBAKG1C59CJ036458,$2856.45
Ram,3500,2011,2T2BK1BA6FC727894,$2806.93
Pontiac,Firebird,1986,1G4GJ5E36CF382995,$7315.39
GMC,Safari,2001,WP1AE2A2XDL388078,$4940.65
Volvo,S80,2009,1G6DP57V390396419,$3237.35
Volkswagen,Vanagon,1984,1FMJK1G57EE121374,$9606.82
Audi,Allroad,2005,1FMEU5BE6AU596444,$7424.67
Dodge,Journey,2012,2T2BK1BA9EC213620,$4584.06
Audi,S5,2008,1GYS4FEJ1BR217602,$1225.42
Nissan,Altima,2003,5FRYD4H2XEB176498,$8545.66
Nissan,Sentra,1993,1GTC5MF93B8665328,$4667.10
Lamborghini,Diablo,1997,WBS3C9C5XFJ025127,$5523.58
Pontiac,Trans Sport,1996,WBALW7C51DD916287,$796.22
Chevrolet,Impala,2009,5YMGY0C50D0565182,$6172.15
Chevrolet,Corvette,2001,WAUVFAFR8DA379035,$6537.34
Toyota,Yaris,2010,3N1CN7AP6EK989198,$9845.26
Ford,Ranger,1986,1YVHZ8BA6A5179379,$6360.51
Isuzu,Rodeo,1996,WDDPK4HAXFF925149,$6629.93
Chevrolet,Corvette,2008,JTDBT4K31B1829638,$1250.62
Pontiac,Montana,2002,JH4CL96955C166789,$6111.39
GMC,Yukon XL 2500,2010,KL4CJDSB4EB848842,$7159.00
Kia,Soul,2011,1D7RV1CP4BS484209,$5600.23
BMW,X3,2007,1C4AJWAG3CL568343,$2434.72
Porsche,968,1995,SCBZK25E63C724105,$2438.67
Ford,Expedition,2006,WP0AD2A77EL478356,$2550.25
Honda,S2000,2005,JM1NC2JF6D0827857,$1854.48
Subaru,Outback,2000,1HGCR2E5XFA926381,$4380.79
Volkswagen,GTI,2005,WAUUL78E28A597463,$8117.36
Dodge,Stealth,1992,2FMHK6DT0AB742010,$984.38
Dodge,Ram Van 2500,1995,SCBGH3ZA1EC716807,$2775.09
Volvo,V70,1999,WBALM7C51BE409970,$793.79
Dodge,Ram 2500,2001,NM0KS9BN1AT192767,$1736.91
Mercedes-Benz,S-Class,1997,JM1NC2NF5E0635356,$7615.89
Ford,F350,1999,1FTEX1CM9DF947897,$8397.06
Rambler,Classic,1963,WA1CV74L99D354272,$3872.51
Chrysler,Concorde,2001,1G6KY54901U449408,$5988.46
Jeep,Patriot,2009,WP0AA2A99ES840364,$5714.45
Daewoo,Lanos,2002,1D7RV1GT8BS666499,$4855.70
Chevrolet,Cavalier,2003,JHMZF1D68ES797764,$4924.82
Plymouth,Acclaim,1995,3VW517AT9FM787070,$1679.53
Hyundai,Elantra,2008,WAUUL58E15A165849,$5014.68
Chevrolet,Silverado 1500,2008,3C4PDCABXCT101526,$7348.49
Acura,TL,1996,1N6AA0CH5FN613033,$1410.10
BMW,M3,2002,KMHCT4AE4CU703115,$4634.50
Lamborghini,Diablo,1993,5GAKVCKD0DJ060311,$6314.83
Buick,Regal,1996,WBAEV33452P650490,$2708.34
Ford,Expedition,2003,19XFB2F56FE600931,$3823.88
Mercedes-Benz,SL-Class,2007,WAULD64B72N013380,$1846.65
Pontiac,Grand Prix,1991,3N1AB6APXAL415511,$7450.46
Toyota,Matrix,2005,WBABS53453J563880,$6832.97
Saturn,S-Series,2001,1N6AF0LY4FN027019,$9572.72
Chevrolet,Avalanche 1500,2002,WDDGF4HBXDF746247,$9484.39
Dodge,Grand Caravan,1996,2B3CK9CV2AH424944,$6839.63
Mercury,Monterey,2007,WAUBH78E48A377170,$2900.71
Chevrolet,S10,1993,JM3ER2W31A0126580,$1745.99
Ford,Edge,2013,1G6AB5RA4F0414580,$4721.32
Kia,Sedona,2011,SCFEDEAN1CG895187,$9734.55
Chevrolet,Astro,2000,4F2CY0C76AK629296,$6388.36
MINI,Clubman,2009,JN1CV6EK1AM663389,$8461.35
Honda,Civic,2012,1G6DV5EP6E0676551,$7637.77
Dodge,Dakota Club,1997,1FTMF1EW2AK142467,$3305.72
Chrysler,Town & Country,1996,SALCP2BG1FH036698,$1061.48
Ford,Fiesta,2001,1N4AA5AP5EC872325,$2744.45
Toyota,Tacoma,2006,19UUA8F58CA552104,$6379.93
Mazda,Mazda6,2012,WBAFZ9C5XDC711928,$4761.95
Infiniti,QX,2002,3GYT4LEF9DG685885,$1484.58
Audi,A5,2010,5GAEV23D89J189782,$8270.85
Buick,Riviera,1985,WDDGF4HB2EA391394,$2280.64
Cadillac,XLR,2008,WBA4A5C54FD638513,$3915.45
Nissan,Altima,2007,2T3BF4DV0BW861729,$9951.23
BMW,Z8,2002,WDDEJ7GB0DA124083,$4489.21
Chevrolet,Venture,2005,SCFPDCGPXEG190820,$2593.33
Ford,LTD Crown Victoria,1990,1N6AA0EC6FN306391,$5686.20
Mercedes-Benz,C-Class,2000,SALVP2BG7FH809747,$3659.78
Subaru,Legacy,2012,KNAFX6A87E5169470,$8685.32
Jaguar,XK Series,2013,WAULC58E12A434665,$4621.84
Saturn,Relay,2006,YV4902DZ8B2076825,$4196.11
Ford,Flex,2013,5UXWX7C56EL609393,$2406.97
Chevrolet,G-Series G20,1993,WBAPH73529A529848,$6800.49
Ford,Excursion,2000,WAUAH74F18N315874,$6084.58
Maserati,Coupe,2006,JH4CU25639C149023,$4100.59
Mercury,Cougar,2001,YV4940BL4D1162939,$8154.74
Toyota,FJ Cruiser,2008,WAUDG98E26A866560,$9832.04
Ford,E-Series,1988,1GT01ZCG1EF798099,$7484.20
Austin,Mini Cooper S,1963,JTHFF2C2XD2667071,$9719.58
BMW,5 Series,2007,SALCT2BG3FH540987,$2236.56
Chevrolet,Silverado 1500,2007,2C3CCABG0CH020466,$3840.19
GMC,Vandura G2500,1995,1GYS4BEF8CR133847,$9724.75
Audi,S4,2009,WBADS334X2G641823,$520.55
Mazda,Millenia,1996,1G6KD579X7U340390,$2872.76
Ford,Windstar,1999,1FMEU2DE0AU698088,$8713.73
Daewoo,Nubira,2002,JM1NC2JF7B0277663,$8358.01
Pontiac,Daewoo Kalos,2005,3GTXCYEJ9AG114792,$8395.70
Buick,LeSabre,1989,TRURD38J991874628,$1915.44
Mitsubishi,3000GT,1997,1G6AR5S33F0308788,$6805.29
Mercury,Tracer,1991,5TDBCRFH9FS706343,$4277.53
Mazda,Mazda5,2009,1G6KD57YX9U802571,$5470.85
Honda,S2000,2006,2C3CCADG0DH344810,$5261.34
Nissan,Rogue,2011,WAUEFAFL2BA189935,$5334.88
Buick,Skylark,1993,WAUAFAFLXFN446725,$1993.87
Daewoo,Lanos,2001,3VWML7AJ7EM844627,$6940.20
Ford,Expedition EL,2010,1HGCP2F39CA626894,$8688.57
Lincoln,MKZ,2012,WAUVKAFR0AA133555,$1957.87
Lincoln,Continental,1999,WAUVC58E55A483140,$2910.13
Audi,riolet,1994,JH4CL95955C005327,$7834.43
Ford,Explorer,2001,2HNYD2H38DH267481,$8637.43
Ford,Windstar,2000,KL4CJDSB7DB173809,$7140.39
Subaru,Justy,1989,1D7RE3BK7BS914932,$4523.51
Chevrolet,Avalanche,2007,1G6AF5S36E0574054,$1182.07
Rambler,Classic,1963,YV1672MK2C2311302,$2425.73
Mercedes-Benz,M-Class,2003,WDDEJ7KB6AA628480,$6383.30
Hyundai,Elantra,2007,1D7RW2BK3BS846619,$717.30
Chevrolet,G-Series G30,1993,2G4GP5EXXF9578582,$3567.76
Mercedes-Benz,E-Class,1988,3C3CFFHH5DT977088,$3847.83
Chevrolet,Corvette,1998,3D73M4HL0BG458018,$6754.86
Lincoln,MKS,2009,1GD11ZCG4CF760105,$1112.14
Volvo,XC70,2004,2G4WD582671052180,$4768.26
Plymouth,Sundance,1994,1N6AF0LY4FN495431,$6936.86
GMC,Yukon XL 1500,2013,WUARL48H77K800635,$2494.75
Mazda,929,1987,1G4HP57M79U844901,$8680.61
Ford,Escape,2011,5N1AT2MK5EC965540,$9060.28
Lamborghini,Murciélago,2004,WAUMFAFL5CA147644,$5615.71
Honda,del Sol,1995,YV126MFC6F2736786,$5324.92
Buick,Park Avenue,1998,1G4HP54K42U092762,$9644.66
BMW,X6,2009,5UXFG2C53BL600410,$6790.73
Mazda,Miata MX-5,2006,WBASN0C57DD132668,$9574.18
Suzuki,Grand Vitara,2005,3MZBM1L73EM947787,$3575.73
Toyota,Land Cruiser,2013,JN8CS1MU0EM363302,$7474.03
Toyota,Highlander,2001,KMHGH4JH4CU277732,$8731.14
Mitsubishi,Eclipse,1996,WBA3B5G57FN580085,$2033.96
BMW,Z8,2001,JTDKDTB38D1283396,$1873.84
Mitsubishi,Eclipse,2006,5J8TB4H55DL675301,$3114.97
Dodge,Dakota Club,1993,WAUWFBFL7AA339112,$7914.54
Nissan,Versa,2011,1J4PN2GK5AW901828,$6617.55
Dodge,Dakota Club,2003,WBA3A5C58DJ207201,$8554.35
Mercedes-Benz,C-Class,2005,4T1BD1FK4FU439940,$9378.86
Mercury,Capri,1994,2G4GK5EX9E9561706,$3982.64
Infiniti,QX,2006,5NPEB4AC4DH518928,$5976.15
Dodge,Caliber,2008,55SWF4JB8FU837412,$7133.51
Dodge,Charger,2007,1G6DP577860801073,$3640.67
Toyota,Camry,1994,1N6AA0EC6DN355474,$6503.00
Chevrolet,Blazer,2001,JTEBU5JR3A5928585,$4359.95
Saab,9-3,1999,1G6AH5S36F0806048,$1581.48
Suzuki,Swift,2000,1D4PT7GX2AW461607,$9235.53
Chrysler,Concorde,1997,2HNYD18663H059280,$6630.27
Toyota,Land Cruiser,1992,JH4DC54806S876603,$855.10
Pontiac,Parisienne,1984,WAUSF98E56A377662,$1404.24
Cadillac,SRX,2006,WA1DVBFEXAD507820,$9413.89
Ford,Escort,1991,ML32A3HJ8EH761813,$6673.94
Chevrolet,Express 3500,2004,WBAUC9C56BV979515,$7329.10
Mazda,Tribute,2009,WVGFG9BP4CD552775,$9811.28
Mercury,Cougar,1989,KMHHT6KD9BU504955,$1027.27
Volkswagen,Golf,2010,SCFBB03B47G720680,$9982.09
Ford,Festiva,1989,4T1BK1EB4FU687855,$2701.34
Volvo,S60,2012,WVWAN7ANXEE793097,$8723.46
Bentley,Continental,2011,KNDJT2A52D7044693,$9851.45
Volkswagen,rio,1998,5N1AR2MM6FC914646,$4345.03
Toyota,Supra,1994,WA1YL64B84N005653,$9816.35
Toyota,Camry,1992,KMHHT6KD2AU426243,$8624.53
Hummer,H1,2003,5BZAF0AA7FN227708,$4817.95
Lamborghini,Diablo,1996,SCFFDCCD6CG917908,$6056.36
Pontiac,Sunbird,1986,WAUAFAFL6AA409039,$7001.68
Mazda,RX-7,1990,2G4WY55J011225358,$2203.48
GMC,Yukon XL 2500,2011,3D7LT2ET8AG369243,$3732.71
Mercedes-Benz,SLS-Class,2012,TRUTX28N021264116,$1214.92
Toyota,T100,1995,4T3BA3BB2FU901090,$3594.07
Audi,100,1994,WVWAB7AJXCW775101,$5949.61
Toyota,Land Cruiser,2005,1J4PR4GK2AC193054,$2943.89
Mercury,Marquis,1985,1FBNE3BL5CD868946,$3687.47
Dodge,Caravan,2001,2HNYD28578H567746,$753.30
Cadillac,SRX,2008,WAUKF78P39A616149,$9965.89
Mazda,Mazda5,2012,JN1CV6FEXAM220358,$2881.47
Kia,Sephia,1998,WA1VYAFE1AD767531,$8612.19
Audi,4000s,1986,4A37L3ET0AE373454,$7711.12
GMC,1500,1996,SCFAD01A97G954720,$5363.60
Audi,A8,2009,WAUJC68E54A213439,$4642.91
Nissan,Altima,2009,SCBLC47J17C245198,$7211.07
Toyota,Celica,1993,5UXFA13584L055870,$8780.16
Chevrolet,Malibu,2004,JN1AZ4EH3BM865270,$4050.04
Mercedes-Benz,R-Class,2006,5UXFA53522L203077,$1070.84
Ford,Explorer,2002,WBSWD93568P460639,$3128.30
Ford,Focus,2011,KNAFT4A22D5772918,$1804.01
Audi,A3,2006,19UUA65604A549200,$4086.34
Porsche,911,1992,WAUXL58E55A322425,$4292.20
Jeep,Grand Cherokee,2004,2G4WS52J521030721,$9899.07
Chevrolet,Suburban 1500,2005,1G6AG5RX3F0203022,$6990.15
Mercury,Grand Marquis,1996,JTDKDTB34E1570784,$2689.86
Subaru,Outback,2006,WP0CA2A82CS144037,$4683.66
GMC,Savana 2500,2006,3N1AB7AP1FL977147,$5859.69
Pontiac,Daewoo Kalos,2006,WAUBH74F76N729775,$8350.51
Mazda,Miata MX-5,1995,5TDDW5G15FS526691,$2602.04
Toyota,Tercel,1997,1GYS3FEJ1BR847591,$1073.00
Oldsmobile,88,1998,WBAUP3C50BV493591,$5970.15
Aston Martin,V8 Vantage S,2011,1G4HJ5EM0AU068524,$5438.88
Chevrolet,Tracker,2001,JH4CL95978C202620,$6109.65
Buick,Terraza,2007,3D7TT2CT0AG304289,$4669.71
Plymouth,Voyager,2000,JTDKTUD3XED455370,$8391.71
Nissan,Armada,2008,5J8TB4H38GL050880,$9332.60
Dodge,Intrepid,1995,1N6AF0LX5FN250371,$9148.25
Jeep,Grand Cherokee,1995,WBAWV53589P428383,$7618.43
Pontiac,Firebird,1986,WBAKB0C55BC964389,$9142.04
Oldsmobile,LSS,1999,3D73Y4EL5BG487586,$844.23
GMC,Yukon,2002,SCFEBBBK7DG889985,$1965.38
Nissan,200SX,1998,SCFBB03B67G464669,$6959.89
Dodge,Ram 1500,2009,YV4952CY2E1184491,$1727.34
BMW,7 Series,2006,1FTFW1E81AK285145,$2514.47
Honda,Accord,1984,4A31K2DF7AE587890,$4777.22
Toyota,Tacoma Xtra,2000,WBAPL33549A231583,$5909.33
Ford,Laser,1989,JH4KA96522C907619,$3758.86
Chevrolet,Astro,2002,SCBBB7ZHXEC816999,$8750.25
Mercedes-Benz,300SD,1993,WBAGN83514D618106,$8237.12
Subaru,Leone,1987,WBAEV33462P591174,$6464.09
Ford,Expedition,2004,WBAFU9C53DD796880,$9649.20
Land Rover,LR4,2010,1GT022CG2EF904774,$4213.48
Dodge,Intrepid,1999,WAU4FAFL3CA520969,$5793.74
Audi,5000CS,1988,1C4RDHAG2DC728221,$4566.58
Mazda,Mazdaspeed 3,2008,SCFEBBAC0AG174875,$7046.97
Lexus,GS,2008,WP0CA2A84FS598889,$5861.34
Lamborghini,Diablo,1999,3GYEK63N53G608827,$1246.25
Buick,LeSabre,1997,WAUFGAFC0DN733278,$6646.77
GMC,Sierra 2500,2011,1FMJK1F52BE225770,$3357.17
Acura,TSX,2006,WAUMFBFL3BN672800,$3420.07
GMC,Savana 2500,1999,YV1612FS6E1449223,$533.18
Hyundai,Tiburon,2000,KNAFT4A25B5407954,$9768.15
Acura,RL,1997,JH4CW2H50BC476868,$7675.78
Jeep,Cherokee,1996,5YMGZ0C52CL830856,$1085.94
Jeep,Grand Cherokee,2003,JTHBK1EG7B2303099,$7869.41
Maybach,62,2011,WAUK2AFD4FN492592,$8714.61
Pontiac,Firefly,1994,JN8AZ1MU9EW743973,$4634.69
Saturn,Ion,2006,1G4GE5E32CF716718,$6249.47
Buick,Enclave,2011,WAUAC48H34K844182,$2549.04
Acura,Integra,1994,1FTEW1C83AF232695,$3168.97
Mitsubishi,Diamante,1999,WBAFB33571L710961,$6528.61
Dodge,Spirit,1995,JN1AZ4EH9FM891037,$1233.37
Subaru,Alcyone SVX,1992,WA1AV94L29D804623,$6451.20
Ford,F250,1984,KNAGM4AD2D5225585,$7987.59
Audi,S4,1992,WAUDF58E55A610164,$5399.80
Chevrolet,Express,2010,WBA3N9C57EK588689,$1404.25
Porsche,Cayenne,2006,SCFEFBBC7AG484587,$8039.89
Honda,CR-V,2003,1FAHP3HN6AW847027,$937.54
Mercury,Mystique,1999,JN8AZ1MU3DW985141,$3339.95
Chevrolet,Camaro,1993,JN8AZ2KR7BT099763,$9716.96
BMW,Z3,2002,5UXZW0C51CL353992,$2515.43
Lexus,SC,2002,1G6DA5EY0B0834687,$2720.62
GMC,Sierra 1500,2003,WBASP2C52DC009596,$4508.03
Cadillac,XLR-V,2007,JN1CV6AP5DM029976,$1061.10
Lexus,SC,2010,3D7TP2CT5AG475432,$2670.58
Suzuki,Verona,2006,WAUWFBFL6BA096085,$4756.16
Nissan,Xterra,2012,5N1AA0NE1FN992467,$5005.77
Ford,Taurus,1991,JM1NC2JF2B0746786,$9025.69
Pontiac,Firefly,1995,1GYS4JEF7BR382200,$4957.62
Volkswagen,Cabriolet,1990,WVWED7AJ3BW584971,$7321.74
Mercury,Topaz,1989,1FTMF1CW7AF327724,$3768.96
Audi,A5,2012,JTEBU4BF3CK960438,$629.80
Toyota,Corolla,2011,WAUAFAFL3CN156614,$6295.64
Toyota,Avalon,2012,5GAKRBKD6EJ580125,$9402.07
Mercury,Topaz,1988,KMHGH4JH8EU391414,$7249.01
Buick,Skyhawk,1988,1FTKR1AD5AP540102,$1469.84
BMW,760,2006,JTDZN3EUXE3619538,$3172.77
Chevrolet,Camaro,1976,5N1AA0ND1EN045029,$1738.02
Pontiac,Solstice,2006,WBA3B5C53DP995900,$4795.51
Audi,RS 6,2003,WBSDE93411B316110,$6767.63
Porsche,Panamera,2012,5N1AA0NE8EN949534,$795.21
Pontiac,GTO,1972,1G4PS5SKXE4544683,$6954.74
Honda,Accord,1987,1FBSS3BL1AD170584,$3646.08
Suzuki,X-90,1998,YV1852AR5A1680335,$6900.17
Acura,RL,2007,4USBT534X3L269857,$4257.69
GMC,Suburban 2500,1996,1GD312CG0EF263393,$4905.40
BMW,X5 M,2013,WBALM5C59AE909247,$3362.76
Suzuki,Swift,1999,19UUA56982A591338,$2197.10
Kia,Spectra,2003,WBA3A5C53EP445598,$1930.93
Geo,Prizm,1993,2G4WE537251011042,$3017.63
Acura,RL,2001,3D4PH7FG4BT025349,$6680.10
BMW,X3,2006,1G6AH5RX6F0037771,$8991.24
Audi,A4,2009,NM0KS7AN2AT004649,$7826.19
Cadillac,Escalade EXT,2011,3GYFNFE32FS485562,$3970.10
Hyundai,Sonata,2006,KMHFG4JG0EA800626,$8304.88
Bentley,Arnage,2006,WBAYM1C51FD280224,$4174.32
Cadillac,DTS,2011,1GYS4HEF6CR487157,$8672.21
Honda,Prelude,2000,WAUPL68E15A131994,$520.07
Chrysler,Concorde,2003,WAUVT58E55A119591,$5144.92
Dodge,Charger,1968,4T1BF3EK3BU477550,$675.49
Ford,Mustang,1980,WP0AA2A94DS221184,$7698.04
Hummer,H2,2007,1HGCR2E39EA668982,$8414.33
Jaguar,XK Series,2002,1HGCR2F3XFA832725,$3190.25
Dodge,Journey,2011,WVWGU7AN4BE900069,$1416.90
Toyota,Sienna,2004,3D73M4CL3BG042424,$8261.49
Audi,Q7,2010,WBAWL13579P084690,$8549.53
Toyota,Tercel,1995,JH4CL95834C961962,$3148.18
MINI,Cooper,2002,1FTMF1E89AK168484,$6660.82
Volkswagen,Eurovan,2000,WBAET374X4N673651,$4618.54
BMW,6 Series,2006,1GYFK438X8R356616,$8126.25
Lexus,GX,2008,SCFAB22363K452160,$9215.94
Dodge,Ram 1500 Club,1995,4JGCB2FE9BA564065,$3674.56
GMC,Sierra 3500,2007,3C63D3HL9CG595598,$2025.14
GMC,Yukon XL 2500,2012,2C3CDZAT8FH985168,$7575.43
Chevrolet,HHR,2010,4JGBB2FB3AA544023,$2324.92
Jeep,Compass,2008,WAUDF98E08A593687,$3731.28
Toyota,Land Cruiser,2001,JM3ER2A54B0134442,$7195.00
Chevrolet,Camaro,1968,5J6YH1H37BL405817,$4891.03
Volkswagen,Eurovan,1995,WAUVFAFH5AN663878,$4289.05
Ford,Expedition EL,2011,WAUPL58E75A213884,$3343.38
Chevrolet,Suburban 1500,1997,1G6DM5EV1A0855818,$1646.64
Mercedes-Benz,S-Class,1996,5N1AN0NU7DN274494,$4031.02
Dodge,Intrepid,2003,WBAPK53559A898192,$2887.86
Mitsubishi,Excel,1987,1NXBE4EE6AZ129680,$8462.15
Ford,LTD Crown Victoria,1988,1G4GC5G35EF245430,$4677.67
Oldsmobile,Bravada,2000,1GYEE23A490547674,$3236.94
Aston Martin,V8 Vantage S,2012,4T1BD1FKXEU720364,$7382.33
Mercury,Mountaineer,1998,WBAVD335X6K672483,$2799.65
Ford,Explorer,2010,WA1BY74L29D618922,$2241.53
Saab,9-3,2012,WA1WKAFP2BA465336,$7808.43
BMW,3 Series,2002,5FNRL5H27FB177348,$5242.99
Volvo,XC90,2013,1N6AA0CC3BN302280,$3768.52
Volvo,S80,2004,1G6DS1ED0B0507239,$2553.94
Dodge,Ram 1500 Club,2000,WDDJK7DA7EF269486,$2337.91
Mazda,MX-5,1990,WAUMF68P66A792319,$8767.87
Ford,F-Series,1990,WAUBVAFA5AN326460,$502.15
Nissan,Maxima,2001,WP0AA2A95CS239711,$582.00
Pontiac,GTO,1969,5GALRCED9AJ762885,$1062.26
Isuzu,Ascender,2004,1GYS4EEJ8BR500394,$5741.95
Volkswagen,Jetta,1984,2T1BU4EE0BC192005,$4600.35
Infiniti,FX,2004,2D4RN1AG0BR143651,$6186.67
Volvo,S40,2011,JN1CV6FE3AM107805,$5694.58
Mazda,MPV,1992,5YMGY0C58D0289706,$4575.71
Acura,CL,1997,5LMJJ3J56CE141037,$769.06
Ford,Transit Connect,2010,WP0AA2A93BS231606,$8168.07
Dodge,Stratus,2005,1FTSX2A55AE177879,$5867.94
Mazda,Miata MX-5,1996,JTHHE5BC9F5198970,$540.14
Lexus,CT,2011,WBAFR9C54BC310596,$3163.54
Kia,Sportage,2000,3D4PH6FG6BT851744,$7675.75
GMC,3500,1995,4T1BF1FK9FU948514,$4836.21
Suzuki,Swift,1993,1GD120EG1BF883669,$2525.09
Isuzu,Rodeo,1994,WAUJC58E23A854654,$9531.86
Ford,Econoline E350,1998,1G6DP1ED0B0708074,$3309.30
Mercury,Sable,2001,1G4HA5EM4AU399882,$4612.27
Porsche,911,2007,1FA6P0G75F5727693,$1749.06
Volkswagen,GTI,1990,WAUKF98EX7A078041,$1137.01
Suzuki,Aerio,2002,2T1BURHE2EC963562,$4381.32
Maybach,57,2009,1GYEK63N55R018615,$6570.51
Toyota,Tacoma Xtra,1999,WAUVT64B53N842980,$3752.54
Lincoln,MKZ,2010,WA1AV74L49D342215,$9995.96
Chevrolet,Beretta,1992,WAUAH78E08A066332,$5687.54
Lexus,IS,2007,1N6AA0CC2AN396991,$2020.92
Land Rover,LR3,2007,JTHKD5BH8D2572987,$6244.29
Chevrolet,Corsica,1994,WAUEFAFL5DN389512,$876.54
BMW,M3,2002,WP1AA2AP1AL126808,$7565.57
BMW,Z4 M,2007,5GAKVCKD4FJ023197,$6837.97
Volkswagen,Touareg,2008,WAUSH78E88A189025,$1213.50
Mitsubishi,Lancer,2010,WAUDV94FX9N389622,$7067.43
Buick,Century,1999,JTHKD5BH9B2954216,$4732.17
Ford,F150,1993,WAUNF98P66A068622,$832.61
Chevrolet,Avalanche,2011,1FTFW1E84AF286072,$3118.30
Ford,Crown Victoria,1992,1GYS4BEF9BR125478,$5504.24
Pontiac,Bonneville,1987,JTJHY7AX7E4746636,$7594.90
Land Rover,Range Rover,1987,1GYFC56259R938781,$4247.86
Volvo,C70,1998,4T3BA3BB9EU829383,$9249.65
Mercedes-Benz,400E,1993,1G6DV5EP6E0677991,$2629.52
Buick,Skyhawk,1988,2G4WB55K221024881,$3628.66
Audi,90,1994,WBSWL9C51AP415360,$9654.59
Maserati,Quattroporte,2011,1N6BF0KMXFN105466,$625.66
Mercury,Mountaineer,2007,WAULL44E55N579835,$2384.32
Eagle,Summit,1993,WAURVAFD5BN322032,$2909.95
GMC,Yukon,2010,3VWF17AT9FM486240,$6042.33
BMW,525,2004,WBAVC53517F678441,$554.23
Maybach,Landaulet,2012,JH4CL95976C770685,$8106.33
Mercedes-Benz,SLK-Class,2006,WAUVT68E25A186414,$6050.09
Eagle,Summit,1994,SALAB2D47CA825922,$8084.03
Audi,A8,2008,WBALX5C59CC437914,$985.28
Chevrolet,Cobalt SS,2008,WAURFAFR9AA831006,$6008.30
Lincoln,Town Car,2006,WAUGFBFC7EN054994,$1419.39
Ford,Escape,2010,2C4RDGDG8CR020759,$9813.20
Mitsubishi,Mighty Max Macro,1994,1HGCR6F35FA083596,$2721.06
Dodge,Ram Van B350,1994,WAUCFAFH2EN928897,$7186.42
Kia,Rondo,2009,YV1612FH9D2882936,$2847.43
Audi,80,1991,2B3CA7CW5AH768381,$4987.61
Volkswagen,Touareg,2006,WUAW2BFC5EN360413,$3720.89
Ford,Aspire,1994,WAUKF98E48A251179,$509.71
Lexus,LX,2005,WBADT634X3C085097,$3858.81
Cadillac,DeVille,2003,VNKKTUD34FA610330,$5230.08
BMW,530,2006,WA1WMAFE4FD761648,$8339.64
Ford,E-Series,2012,2G61V5S87E9034443,$9743.17
Jeep,Compass,2012,KNDJT2A10A7762526,$1069.54
Saab,9-3,2004,WAULFAFH5CN396137,$9286.77
